BPM,ENERGY,DANCE,LOUD,VALENCE,LENS,ACOUSTIC,STAT
216,14,40,-13,18,141,80,2
206,89,38,-9,80,247,3,1
204,41,62,-12,74,252,68,1
204,47,24,-8,39,205,31,1
203,64,26,-10,38,281,20,1
203,82,27,-6,81,233,10,1
200,18,46,-17,40,144,76,2
198,52,70,-7,55,303,1,1
196,93,31,-6,38,280,2,1
194,93,49,-4,92,203,61,1
194,43,35,-11,26,275,16,1
193,58,43,-5,27,193,4,1
191,93,40,-7,73,408,0,1
190,19,54,-21,41,102,92,2
190,24,45,-14,30,336,55,1
189,76,43,-8,66,247,2,1
188,31,37,-20,43,168,86,2
188,70,31,-6,76,255,1,1
186,99,38,-2,77,176,0,1
186,44,24,-11,40,390,11,1
186,87,34,-3,27,260,8,1
186,54,30,-8,54,203,16,1
185,52,73,-11,96,203,7,1
184,34,38,-13,69,179,81,1
184,9,39,-15,36,201,98,1
184,82,26,-6,40,403,2,1
184,51,35,-8,22,291,40,1
183,44,56,-8,44,288,29,1
182,50,40,-11,82,149,39,1
181,53,39,-9,33,276,25,1
181,39,36,-14,50,218,75,1
181,59,56,-9,68,306,32,1
181,62,61,-17,96,210,24,1
180,24,67,-13,9,85,75,2
180,25,63,-15,35,115,96,2
180,15,55,-17,43,107,97,2
180,33,47,-17,12,107,94,2
180,32,38,-17,28,156,90,2
180,19,55,-16,41,149,60,2
180,35,60,-10,26,173,40,2
180,46,53,-12,17,139,59,2
180,39,79,-10,9,148,89,2
180,60,64,-11,21,197,36,2
180,17,77,-13,13,85,2,2
180,13,69,-16,48,85,51,2
180,18,57,-15,21,192,43,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,23,38,-14,59,64,14,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,21,51,-12,10,75,73,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,52,60,-9,4,107,21,2
180,31,30,-18,8,128,87,2
180,41,45,-13,9,107,82,2
180,66,50,-9,89,240,33,1
180,63,47,-5,16,212,3,1
180,66,51,-7,46,228,3,1
180,42,50,-8,22,281,13,1
180,76,26,-7,43,284,6,1
180,43,22,-9,50,216,82,1
180,95,44,-8,36,258,3,1
179,77,51,-6,94,142,6,1
179,47,33,-9,43,336,60,1
179,54,45,-7,61,266,68,1
178,18,51,-12,82,87,79,2
178,65,63,-13,77,71,45,2
178,64,38,-7,8,261,7,1
178,80,66,-5,84,229,20,1
178,34,39,-10,48,303,65,1
177,90,50,-7,77,183,36,1
177,55,52,-14,91,289,50,1
177,76,58,-6,66,201,16,1
177,32,29,-12,38,201,80,1
177,78,39,-3,90,134,0,1
177,37,43,-12,65,125,18,1
177,48,65,-16,80,448,23,1
177,80,54,-9,89,220,7,1
176,18,77,-14,38,123,39,2
176,42,57,-9,25,156,69,2
176,15,65,-15,56,289,98,2
176,21,61,-15,4,109,97,2
176,24,62,-17,35,153,79,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,38,61,-10,47,131,62,2
176,54,44,-8,4,134,54,2
176,74,66,-7,91,240,66,1
176,91,21,-7,45,313,48,1
175,25,30,-15,14,110,52,2
175,45,42,-13,17,219,64,1
175,72,31,-6,41,200,5,1
175,87,37,-5,48,259,0,1
175,10,38,-21,44,165,91,1
175,76,36,-8,95,136,73,1
175,52,48,-12,10,311,33,1
175,66,39,-6,46,274,28,1
174,20,54,-14,23,88,54,2
174,35,55,-15,4,99,81,2
174,44,76,-9,95,149,24,2
174,4,58,-25,16,121,92,2
174,72,43,-6,69,268,10,1
174,96,49,-2,81,277,3,1
174,45,46,-11,42,257,16,1
174,6,35,-17,30,190,98,1
174,44,64,-14,15,154,13,1
174,89,36,-7,26,294,2,1
174,38,21,-10,45,191,72,1
174,61,76,-13,86,189,8,1
174,26,45,-13,60,324,54,1
174,42,53,-12,19,411,31,1
174,90,41,-8,67,273,43,1
174,94,25,-5,46,234,3,1
174,28,36,-12,20,174,54,1
174,54,65,-13,90,255,12,1
173,66,43,-7,28,267,0,1
173,96,43,-4,37,269,0,1
173,30,32,-13,44,264,77,1
173,87,33,-8,49,508,21,1
173,55,34,-8,36,280,33,1
172,31,58,-12,13,156,68,2
172,60,62,-12,26,132,37,2
172,42,63,-10,21,100,53,2
172,20,84,-11,58,137,90,2
172,19,55,-14,34,126,95,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,15,57,-14,4,67,32,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,31,65,-18,7,89,64,2
172,76,45,-5,54,224,0,1
172,14,39,-17,26,226,79,1
172,40,39,-8,59,192,89,1
172,66,45,-4,37,236,8,1
172,80,21,-7,68,377,1,1
172,94,46,-7,80,252,44,1
172,84,20,-8,39,590,28,1
171,92,36,-6,52,357,3,1
171,74,69,-5,6,326,1,1
171,46,54,-10,80,187,19,1
171,75,56,-8,35,240,27,1
171,73,35,-9,70,471,8,1
171,34,28,-13,23,277,72,1
171,50,40,-11,37,327,8,1
171,58,51,-5,67,279,3,1
171,64,46,-6,29,229,25,1
171,48,26,-8,7,319,4,1
170,74,57,-9,42,213,4,2
170,40,78,-10,41,127,91,2
170,24,66,-13,6,158,82,2
170,12,55,-25,24,129,88,2
170,47,79,-10,32,148,27,2
170,24,68,-15,23,125,53,2
170,12,64,-14,22,135,85,2
170,27,78,-13,24,165,80,2
170,42,69,-11,40,102,24,2
170,47,62,-8,22,116,64,2
170,60,69,-9,84,103,20,2
170,34,69,-16,11,170,80,2
